FF,stat,n,mle,stderr,mean,low,high,group
v1-k100,RMSE,363,0.22353444317742746,0.008566597753780648,0.22263604963024503,0.20731322136087346,0.24054278247160413,a15
v1-k100,MUE,363,0.17492794146249765,0.0073014478053570605,0.1749744467590138,0.16137043199992734,0.19046427915206873,a15
v1-k100,R2,363,0.9141915027327445,0.008498290550026408,0.9145125747754979,0.8968857636708409,0.9313742752954528,a15
v1-k100,rho,363,0.9561336217980961,0.004600120645680245,0.9561081775342936,0.9467704555269452,0.9646885301655282,a15
v3-k100,RMSE,363,0.21664689626441352,0.008468514461119838,0.21631137885575272,0.19926849452095466,0.23231798573957485,a15
v3-k100,MUE,363,0.17005507664058722,0.007046103541660625,0.17025334949315832,0.1569507204850663,0.1846306010162209,a15
v3-k100,R2,363,0.9185922449618457,0.007810442202048713,0.9185941490030807,0.9031325266771509,0.9335721939925159,a15
v3-k100,rho,363,0.9584321806793877,0.004128955074589316,0.958453164693921,0.9502937597708608,0.9655765730725003,a15
Sage 2.0.0,RMSE,24,0.3247175811589114,0.028864504721250243,0.3244529701146555,0.26747893133722356,0.38011167123423595,a16
Sage 2.0.0,MUE,24,0.2783514012009835,0.03429107542848184,0.2781000750446447,0.2091996729695881,0.3428032874595334,a16
Sage 2.0.0,R2,24,0.8949726886084817,0.035375052825363476,0.8946306644729659,0.8244680540341629,0.9559393539616162,a16
Sage 2.0.0,rho,24,0.9460299617921633,0.017564042642849945,0.9475731995405092,0.9113925367528546,0.9795083848856383,a16
Sage 2.2.1,RMSE,24,0.348840773060284,0.029768337360701013,0.34627497231289267,0.28067560332483815,0.401682946914132,a16
Sage 2.2.1,MUE,24,0.3015796953799663,0.03575757068505765,0.3021556340978714,0.22623013094921596,0.3707216082295999,a16
Sage 2.2.1,R2,24,0.88487447840397,0.039159556681693374,0.8901195512455149,0.8101738738450552,0.9595447151936536,a16
Sage 2.2.1,rho,24,0.940677669770028,0.02124402188437067,0.9407328242077018,0.8967349173030513,0.9769771774214746,a16
smee-v2,RMSE,24,0.34714856306996417,0.03134032131225609,0.3454156172538703,0.2843925460863362,0.4098827549123658,a16
smee-v2,MUE,24,0.3016881037361942,0.03458503551241935,0.30091708185542615,0.23392968775300893,0.3698480899101879,a16
smee-v2,R2,24,0.8863996596773205,0.03895481212744311,0.887224176714864,0.8114773628827302,0.9558692454719168,a16
smee-v2,rho,24,0.9414880029386037,0.020539489265230287,0.9411908011050923,0.9001221835381396,0.9774381291972358,a16
v1-k100,RMSE,24,0.3684054375874024,0.031201151357980957,0.3675526375614153,0.30323069062462144,0.4254735438861634,a16
v1-k100,MUE,24,0.32167435625580737,0.03623195257508,0.32119358841120277,0.24808710022508743,0.39044649451973745,a16
v1-k100,R2,24,0.8348907308178409,0.06005511123465133,0.8328262810635992,0.7028720172202839,0.9353616094769328,a16
v1-k100,rho,24,0.9137235527323573,0.033071760794579616,0.9111769544434302,0.8354164087462456,0.9658029394233171,a16
v3-k100,RMSE,24,0.3648303786434528,0.031107122910853102,0.36360658106156246,0.2964934083089369,0.4223100911597493,a16
v3-k100,MUE,24,0.3166124454765178,0.0372417835465689,0.31515919015984445,0.23990402561909904,0.38871871980668865,a16
v3-k100,R2,24,0.838427025485127,0.05767544527418352,0.8366003400431248,0.7099987343131867,0.9341169928483171,a16
v3-k100,rho,24,0.9156566089343354,0.032380014573425875,0.9134552190596074,0.8442485568098265,0.9654008995092728,a16
Sage 2.0.0,RMSE,69,0.9993622555206322,0.10215243178664869,0.9940094848644581,0.7874858613737072,1.191638585747813,a18
Sage 2.0.0,MUE,69,0.7027410695601826,0.08451276361092956,0.7041143022484028,0.542297253394001,0.867468632428071,a18
Sage 2.0.0,R2,69,0.8786632922549943,0.039085374341460324,0.8753632025680123,0.7857876958697113,0.9343581452011017,a18
Sage 2.0.0,rho,69,0.9373704135799226,0.02012964465973739,0.934966503851462,0.8909120302349941,0.9670971710086473,a18
Sage 2.2.1,RMSE,69,0.7844830856121932,0.07171254256381053,0.7814402301787947,0.6438790595365439,0.9221481545749286,a18
Sage 2.2.1,MUE,69,0.6054342917701523,0.056730967177703824,0.6017387308160702,0.4950988797521857,0.718655590834096,a18
Sage 2.2.1,R2,69,0.9056959729802683,0.02781489366287237,0.9030194940749785,0.842191813367264,0.94784517753008,a18
Sage 2.2.1,rho,69,0.9516806044993609,0.014731730301136189,0.9499150236753965,0.9146532318264347,0.9729598121557458,a18
smee-v2,RMSE,69,0.8704402156541855,0.09080355824651476,0.867231837405876,0.7011159167520958,1.0465084342472277,a18
smee-v2,MUE,69,0.66064856361216,0.06893158572638694,0.6594052184140278,0.5241888893691246,0.8032505854735414,a18
smee-v2,R2,69,0.8893984570352882,0.029651037463634015,0.8856116583446858,0.8180151608348732,0.9376537821419187,a18
smee-v2,rho,69,0.9430792421823779,0.0159066839918548,0.9410049690899537,0.9047508641031787,0.9663947860897095,a18
